created_timestamp,preferred_marketplace,country,device_family,ASIN,context,book_count_type,book_count,count_changed
2025-01-05T04:53:19Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2025-05-03T20:39:47Z,www.amazon.com,US,Kindle E-reader,B0DLLGPNMQ,Content stored in device,Total Books In Account,78,Yes
2024-05-05T03:49:01Z,www.amazon.com,US,Kindle E-reader,B0CDKLBD2W,Content stored in device,Total Books In Account,85,Yes
2024-06-13T03:02:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,83,Yes
2023-09-26T22:30:21Z,www.amazon.com,US,Kindle E-reader,B0BQLKNTYR,Content stored in device,Total Books Downloaded,9,Yes
2023-10-24T03:20:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,86,Yes
2023-06-14T03:43:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,83,Yes
2025-07-27T18:30:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,4,Yes
2024-06-07T21:50:44Z,www.amazon.com,US,Kindle E-reader,B0B3Y9JVMK,Content stored in device,Total Books In Account,84,Yes
2024-10-07T22:37:42Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,3,Yes
2023-03-08T06:28:24Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,Content stored in device,Total Books Sideloaded,2,Yes
2024-08-04T18:48:08Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2023-07-06T11:38:57Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,2,Yes
2024-07-17T22:39:26Z,www.amazon.com,US,Kindle E-reader,B0CH1NHWNW,Content stored in device,Total Books Downloaded,7,Yes
2024-07-15T19:41:05Z,www.amazon.com,US,Kindle E-reader,2C4B5A07F41247DAAF830F1590836876,Content stored in device,Total Books Sideloaded,3,Yes
2025-01-24T21:25:20Z,www.amazon.com,US,Kindle E-reader,B0DMDYK6Y6,Content stored in device,Total Books Sideloaded,3,Yes
