created_timestamp,preferred_marketplace,country,device_family,ASIN,Toolbar Menu,Toolbar Menu Action Taken,Page Flip Available,Reading Mode,In Multi Window Mode,Screen Orientation,Reading Progress Option Shown,Interaction Type
2025-06-12T23:39:09Z,www.amazon.com,US,Kindle for Android,Not Available,Full Page View,App Backgrounded,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-27T03:30:10Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Full Page View,Exit Full Page View,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-27T03:30:12Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Top Toolbar,Open Reading Customization Menu,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-06-01T17:12:16Z,www.amazon.com,US,Kindle for Android,JNMIUTPQKYQ7HRUKCLKJX5RHPE3OAK4B,Full Page View,Exit Full Page View,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-21T19:49:02Z,www.amazon.com,US,Kindle for Android,Not Available,Library View,Open Book,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-06-15T21:16:10Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Navigation View,Enter Full Page View,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-07-29T20:28:25Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Full Page View,Exit Full Page View,Yes,Paginated Reading,No,Portrait,Blank,Tap
2025-06-26T01:29:28Z,www.amazon.com,US,Kindle for Android,Not Available,Full Page View,App Backgrounded,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-27T11:00:41Z,www.amazon.com,US,Kindle for Android,Not Available,Library View,Open Book,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-06-15T21:23:40Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Full Page View,App Backgrounded,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-29T03:40:26Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Navigation View,Enter Full Page View,Yes,Paginated Reading,No,Portrait,Time To Read Book,Tap
