"Product Name","ASIN","Author ID"
"The Passenger","B09T9D8QY7","B000APT0OW"
"Small Game: A Novel","B09R21YVLM","B01M1J578F"
"The Icepick Surgeon: Murder, Fraud, Sabotage, Piracy, and Other Dastardly Deeds Perpetrated in the Name of Science","0316496502","B003JDD0RA"
"No One Left to Come Looking for You: A Novel","B09RX2WQ3M","B001HPNK8G"
"The Mosquito Bowl: A Game of Life and Death in World War II","0062879928","B000APV4KA"
"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics","B00AEBETU2","B001JRTQ3K"
"Indigenous Continent: The Epic Contest for North America","B0B193DJYK","B00MQIFXE2"
"Sugar Street","080216000X","B000APHHVU"
"In Fifty Words!: Micro Fictions","B07WK8JZ9N","B004XPMPCO"
"If I Survive You","B09NTJPTKN","B0B8F2VRDL"
"Lost & Found: A Memoir","B09285Y1V4","B0032DEMD8"
"Heart of a Dog","B0BH8GTQYX","B000APW544"
"Heart of a Dog","B0BH8GTQYX","B001IR1S8C"
"Liberation Day: Stories","0525509593","B000APEZ74"
"The Bullet That Missed: (The Thursday Murder Club 3)","0241512425","B074KL81KM"
"Running Smart: How Science Can Improve Your Endurance and Performance","0262542447","B098B1YKZM"
"The Girl in His Shadow: A Novel","B08DHDY24D","B006VXT9M0"
"The Girl in His Shadow: A Novel","B08DHDY24D","B091MGSVY6"
"The Man Who Died Twice: A Thursday Murder Club Mystery (Thursday Murder Club Mysteries Book 2)","B08YRM9NBM","B074KL81KM"
"A Slow Fire Burning: A Novel","B08PC3SZHX","B0034Q4SHS"
"Nine Lives: A Novel","B097769VDM","B00E5TKWX2"
"Iron Lake (20th Anniversary Edition): A Novel (Cork O'Connor Mystery Series Book 1)","B000FC0QBQ","B001H6KG50"
"Five Decembers","B08THH7R49","B08ZQY954D"
"Bomb Shelter: Love, Time, and Other Explosives","B09841WSGD","B00IUQJ5GQ"
"When I'm Gone, Look for Me in the East: A Novel","B095MPSYWY","B001KHY706"
"The Thursday Murder Club: A Novel (Thursday Murder Club Mysteries Book 1)","B084M663VB","B074KL81KM"
"The 5 Love Languages: The Secret to Love that Lasts","B00OICLVBI","B01IAEQ73Q"
"Less (Winner of the Pulitzer Prize): A Novel (The Arthur Less Books Book 1)","B01MSICPW3","B001IGOPVU"
"My Year Abroad: A Novel","B08HL86V91","B001JXNQAS"
"Outline","0571233627","B000AQ4VN6"
"Crossroads: A Novel","B08N8Z99MK","B00458HQ7S"
"Do Hard Things: Why We Get Resilience Wrong and the Surprising Science of Real Toughness","006309861X","B00II9FUTG"
"River of the Gods: Genius, Courage, and Betrayal in the Search for the Source of the Nile","B09BTJNJCX","B001ILFMH6"
"The Guide: A novel","B08P98PVY2","B001K1DY74"
"Imagine Me Gone","B0151YQYYU","B001K7Z3D6"
"The Angel of Rome: And Other Stories","006286811X","B000APTHRC"
"Train Dreams","1250007658","B000AQ3FL0"
"The Plant-Based Athlete: A Game-Changing Approach to Peak Performance","B08J3YYP2M","B00D7I143O"
"The Plant-Based Athlete: A Game-Changing Approach to Peak Performance","B08J3YYP2M","B095RNXKW6"
"The Paris Apartment: A Novel","B098QS47D3","B00LMBVZNC"
"Stupid Things I Won't Do When I Get Old: A Highly Judgmental, Unapologetically Honest Accounting of All the Things Our Elders Are Doing Wrong","B08KL58Q4X","B001HMRN7S"
"The Rover","B00S05Q7JK","B001JS8R52"
"The Rover (Kindle Single)","B00JX43A0G","B001JS8R52"
"Anthem","B093ZQCS29","B000APUZA0"
"Immune: A Journey into the Mysterious System That Keeps You Alive","B08XTNHRR5","B092MT758M"
"The Silent Patient","B07D2C6J4K","B07CZQY3KT"
"Broken Ice: A Novel (Nils Shapiro Book 2)","B0756J4NRG","B07567W7ZV"
"The Swimmers: A novel (CARNEGIE MEDAL FOR EXCELLENCE WINNER)","B095MMJYSR","B001KDOKLG"
"Sweat: A History of Exercise","1620402289","B001HMRWEC"
"The Shallows: A Nils Shapiro Novel (Nils Shapiro, 3)","1250191319","B07567W7ZV"
"Sea of Tranquility: A novel","B099DRHTLX","B002BMMGK2"
"Gone to Dust: A Novel (Nils Shapiro Book 1)","B01NBJMMRR","B07567W7ZV"
"Several People Are Typing: A GMA Book Club Pick","B08PY1XTB8","B0941Y1B9T"
"The Maid: A GMA Book Club Pick: A Novel (Molly the Maid 1)","B091Y4KGFH","B096BLV2JQ"
"Hidden Valley Road: Inside the Mind of an American Family","B07TZYFR71","B00D7JVI98"
"The Plot: A Novel (The Book Series 1)","B08JKC299M","B001HCV342"
"Give a Girl a Knife: A Memoir","B01LWWK7WR","B00E60T7LS"
"Old Yeller (Perennial Classics)","B004TE79F2","B001H6OCW8"
"Riverman: An American Odyssey","B098PXP11K","B099BLBQYW"
"Madhouse at the End of the Earth: The Belgica's Journey into the Dark Antarctic Night","B08FH9BV7N","B08H5R4LMJ"
"The Cartographers: A Novel","B08G1NJK2R","B0755NH654"
"Dreamland (YA edition): The True Tale of America's Opiate Epidemic","B07TVRR6GR","B001JSD7RU"
"300 Arguments: Essays","1555977642","B001JRRLZ0"
"Princeton Review AP European History Premium Prep, 2022: 6 Practice Tests + Complete Content Review + Strategies & Techniques (2022) (College Test Preparation)","0525570659","B00GBT2FQQ"
"When We Cease to Understand the World","B08QM8VHRT","B086XCPPPK"
"The Prince of Tides: A Novel","0553381547","B000APY5TW"
"Under the Banner of Heaven : A Story of Violent Faith","0330419129","B000AQ8WPY"
