campaign,preferred_marketplace,country,device_family,kindle_software_version,session_id,campaign_status,last_used_ASIN,home_page_number,campaign_display_position
2024-08-16T23:43:49.518Z,www.amazon.com,US,Kindle E-reader,4270250001,Not Applicable,displayed,15DCD55913DF40F990711B36DCA2CC83,1,1
2025-06-27T21:56:06.046Z,www.amazon.com,US,Kindle E-reader,4417610025,Not Applicable,displayed,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,1,1
2025-02-18T22:02:52.988Z,www.amazon.com,US,Kindle E-reader,4351860007,Not Applicable,displayed,B003K15IF8,1,1
2025-06-23T23:40:01.643Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,1,2
2024-09-01T18:54:15.270Z,www.amazon.com,US,Kindle E-reader,4270250001,131-0015325-6370956,displayed,3451C4DEA84A49DEBFFFDDA0092EC804,4,7
2025-05-15T00:10:54.560Z,www.amazon.com,US,Kindle E-reader,4417610025,Not Applicable,displayed,RESEYEAJK4EJ4ULJAU6NJ6YSAGXJJQBV,1,1
2025-06-24T00:02:17.605Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,6,11
2025-03-11T04:50:02.334Z,www.amazon.com,US,Kindle E-reader,4351860007,131-0015325-6370956,displayed,PTBMJPRMFADHGCZ7ESUYHIIFVONVRXUJ,1,2
2025-07-06T03:29:20.388Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,433NYT3NYBLOUOHLMNP7KZE4BASGKFI2,1,2
2024-08-24T04:48:51.223Z,www.amazon.com,US,Kindle E-reader,4270250001,Not Applicable,displayed,3F18E7B1DE9B48E1B46CEBD543D9AD15,1,1
2024-08-17T19:58:28.591Z,www.amazon.com,US,Kindle E-reader,4270250001,131-0015325-6370956,displayed,Not Available,1,2
2024-09-01T18:54:17.988Z,www.amazon.com,US,Kindle E-reader,4270250001,Not Applicable,displayed,Not Available,1,1
2024-11-08T04:57:15.896Z,www.amazon.com,US,Kindle E-reader,4289730037,131-0015325-6370956,displayed,Not Available,3,6
2024-09-03T02:11:40.310Z,www.amazon.com,US,Kindle E-reader,4270250001,Not Applicable,displayed,Not Available,1,1
2024-08-17T18:22:58.354Z,www.amazon.com,US,Kindle E-reader,4270250001,131-0015325-6370956,displayed,Not Available,5,10
2025-06-23T23:50:09.283Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,6,11
2025-04-03T02:27:19.582Z,www.amazon.com,US,Kindle E-reader,4351860007,131-0015325-6370956,displayed,Not Available,1,2
2024-08-20T03:58:29.368Z,www.amazon.com,US,Kindle E-reader,4270250001,131-0015325-6370956,displayed,6C1EF968A24F49B0BF68A0FC5BA314DC,1,2
2025-04-07T02:32:18.089Z,www.amazon.com,US,Kindle E-reader,4351860007,Not Applicable,displayed,Not Available,1,1
2025-05-06T03:24:31.880Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,1,2
2025-04-21T02:39:03.334Z,www.amazon.com,US,Kindle E-reader,4417610025,Not Applicable,displayed,Not Available,3,5
