Creation Date,Amazon Marketplace,ASIN,Product Name,Browse Node,StoreUrl,Device Serial Number,Device Platform,Display Status
2025-07-17T18:22:43Z,www.amazon.com,B08BWVWD3L,Snowflakes (Hush collection),"""Not Applicable""","""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-16T21:57:23Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/075000a3-b9ca-4f6b-a926-e5a24e795477?ref=kc-su-br-cp,CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-14T01:25:22Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/annual,CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-12T17:36:40Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/604f341e-c6a7-4040-9a6c-3fc77050fb86?ref=kc-su-pw-cp,CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-11T21:37:17Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/88f50673-e9b8-4d5f-85e1-da1095f48591?ref=kc-sp-br-pr,CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-10T22:38:01Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/12c1c4b2-5589-4813-b581-7892b47a5acb?ref=kc-su-july-cp,CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-10T20:06:26Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindle-dbs/search/?k=B01N7LZ4R0%7CB07B2TJ29S,CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-09T02:04:19Z,www.amazon.com,B07MNH487Y,Turbulence: A Novel,"""Not Applicable""","""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-09T02:04:19Z,www.amazon.com,B07MNH487Y,Turbulence: A Novel (English Edition),"""Not Applicable""","""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-09T02:04:19Z,www.amazon.com,B07MNH487Y,Turbulence: A Novel,"""Not Applicable""","""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-05T18:37:03Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/64fdd16e-52e7-431d-b5b0-1cad3d11ea09?ref=kc-sp-pw-pr,CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
