created_timestamp,preferred_marketplace,country,device_family,ASIN,sync_experience,sync_action
2024-12-28T05:50:40Z,www.amazon.com,US,Kindle E-reader,AHLCEKLOMNBI3WZAR2LXCRUBJ2OBWCFN,Sync is Performed,Manual Sync Action Clicked Inside the Book
2025-01-24T21:25:20Z,www.amazon.com,US,Kindle E-reader,B0DMDYK6Y6,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2025-04-21T22:21:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_
2025-01-15T05:17:35Z,www.amazon.com,US,Kindle E-reader,LH2FCVKSFLIA3RE4365AAGYFG76TA7UI,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-10-02T21:37:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2025-04-27T03:35:12Z,www.amazon.com,US,Kindle E-reader,C6ATPLQ37HSITPZJ3VQPW6KVAJUUMK7Y,Sync is Performed,manual_sync_action_SmartSync_C_
2025-05-06T03:34:03Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_
2025-07-27T18:30:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_
2024-09-24T03:18:58Z,www.amazon.com,US,Kindle E-reader,B0CQJHF3HQ,Sync is Performed,Manual Sync Action Clicked Inside the Book
2025-04-21T02:49:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_
2025-01-20T18:49:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-08-09T03:29:23Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2025-01-20T18:53:28Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-12-28T05:50:40Z,www.amazon.com,US,Kindle E-reader,AHLCEKLOMNBI3WZAR2LXCRUBJ2OBWCFN,Sync is Performed,reader_manual_sync_action_SmartSync_C_progressbar
2025-04-21T02:49:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_
2024-10-02T21:37:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2025-04-30T22:21:27Z,www.amazon.com,US,Kindle E-reader,MDA2MPOTKOJLTLOVINZIHHXFP4Q3WPNH,Sync is Performed,reader_manual_sync_action_
2025-07-26T04:32:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_
2025-07-27T18:30:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_
2024-09-24T03:19:11Z,www.amazon.com,US,Kindle E-reader,B0CQJHF3HQ,Sync is Performed,reader_manual_sync_action_SmartSync_C_progressbar
