"Product Name","ASIN","Author Name"
"Five Decembers","B08THH7R49","Kestrel, James"
"Bomb Shelter: Love, Time, and Other Explosives","B09841WSGD","Philpott, Mary Laura"
"When I'm Gone, Look for Me in the East: A Novel","B095MPSYWY","Barry, Quan"
"The Thursday Murder Club: A Novel (Thursday Murder Club Mysteries Book 1)","B084M663VB","Osman, Richard"
"The 5 Love Languages: The Secret to Love that Lasts","B00OICLVBI","Chapman, Gary"
"Less (Winner of the Pulitzer Prize): A Novel (The Arthur Less Books Book 1)","B01MSICPW3","Greer, Andrew Sean"
"My Year Abroad: A Novel","B08HL86V91","Lee, Chang-rae"
"Outline","0571233627","Cusk, Rachel"
"Crossroads: A Novel","B08N8Z99MK","Franzen, Jonathan"
"Do Hard Things: Why We Get Resilience Wrong and the Surprising Science of Real Toughness","006309861X","Magness, Steve"
"River of the Gods: Genius, Courage, and Betrayal in the Search for the Source of the Nile","B09BTJNJCX","Millard, Candice"
"The Guide: A novel","B08P98PVY2","Heller, Peter"
"Imagine Me Gone","B0151YQYYU","Haslett, Adam"
"The Angel of Rome: And Other Stories","006286811X","Walter, Jess"
"Train Dreams","1250007658","Johnson, Denis"
"The Plant-Based Athlete: A Game-Changing Approach to Peak Performance","B08J3YYP2M","Frazier, Matt"
"The Plant-Based Athlete: A Game-Changing Approach to Peak Performance","B08J3YYP2M","Cheeke, Robert"
"The Paris Apartment: A Novel","B098QS47D3","Foley, Lucy"
"Stupid Things I Won't Do When I Get Old: A Highly Judgmental, Unapologetically Honest Accounting of All the Things Our Elders Are Doing Wrong","B08KL58Q4X","Petrow, Steven"
"Trail Runner: How to Build it, How to keep it","B09QBBMXCR","oluyede, leramo"
"The Rover","B00S05Q7JK","Drew Magary"
"The Rover (Kindle Single)","B00JX43A0G","Magary, Drew"
"Anthem","B093ZQCS29","Hawley, Noah"
"Immune: A Journey into the Mysterious System That Keeps You Alive","B08XTNHRR5","Dettmer, Philipp"
"The Silent Patient","B07D2C6J4K","Michaelides, Alex"
"Broken Ice: A Novel (Nils Shapiro Book 2)","B0756J4NRG","Goldman, Matt"
"The Swimmers: A novel (CARNEGIE MEDAL FOR EXCELLENCE WINNER)","B095MMJYSR","Otsuka, Julie"
"Sweat: A History of Exercise","1620402289","Hayes, Bill"
"The Shallows: A Nils Shapiro Novel (Nils Shapiro, 3)","1250191319","Goldman, Matt"
"Sea of Tranquility: A novel","B099DRHTLX","Mandel, Emily St. John"
"Gone to Dust: A Novel (Nils Shapiro Book 1)","B01NBJMMRR","Goldman, Matt"
"Several People Are Typing: A GMA Book Club Pick","B08PY1XTB8","Kasulke, Calvin"
"The Maid: A GMA Book Club Pick: A Novel (Molly the Maid 1)","B091Y4KGFH","Prose, Nita"
"Hidden Valley Road: Inside the Mind of an American Family","B07TZYFR71","Kolker, Robert"
"The Plot: A Novel (The Book Series 1)","B08JKC299M","Korelitz, Jean Hanff"
"Give a Girl a Knife: A Memoir","B01LWWK7WR","Thielen, Amy"
"Old Yeller (Perennial Classics)","B004TE79F2","Gipson, Fred"
"Old Yeller (Perennial Classics)","B004TE79F2","Polson, Steven"
"Tartuffe (Drama Classics)","1854596373","Molière"
"Riverman: An American Odyssey","B098PXP11K","Mcgrath, Ben "
"Madhouse at the End of the Earth: The Belgica's Journey into the Dark Antarctic Night","B08FH9BV7N","Sancton, Julian"
"The Cartographers: A Novel","B08G1NJK2R","Shepherd, Peng"
"Dreamland (YA edition): The True Tale of America's Opiate Epidemic","B07TVRR6GR","Quinones, Sam"
"300 Arguments: Essays","1555977642","Manguso, Sarah"
"Princeton Review AP European History Premium Prep, 2022: 6 Practice Tests + Complete Content Review + Strategies & Techniques (2022) (College Test Preparation)","0525570659","The Princeton Review"
"When We Cease to Understand the World","B08QM8VHRT","Labatut, Benjamín"
"The Prince of Tides: A Novel","0553381547","Conroy, Pat"
"Under the Banner of Heaven : A Story of Violent Faith","0330419129","jon-krakauer"
