Timestamp,Activity,CampaignName,DisplayStatus
2023-06-14T22:23:36Z,ACTION_TRAY_CLEAR_PERFORMED,,
2023-03-09T03:05:56Z,ACTION_TRAY_OPEN,,
2023-08-09T02:23:21Z,ACTION_TRAY_CLOSE,,
2025-05-27T03:26:41Z,ACTION_TRAY_CLOSE,,
2025-02-19T05:28:08Z,RECEIVED,special_deals#DEFAULT,displayed_InAppNotification
2024-01-08T03:23:35Z,ACTION_TRAY_CLEAR_PERFORMED,,
2025-02-26T21:41:28Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2023-06-29T22:12:13Z,RECEIVED,tips,displayed
2023-04-28T19:54:43Z,ACTION_TRAY_OPEN,,
2023-09-09T19:17:38Z,RECEIVED,kindle_recommends,displayed
2023-04-05T17:02:46Z,ACTION_TAP,tips,
2024-01-08T18:51:40Z,ACTION_TRAY_CLEAR_PERFORMED,,
2024-10-29T18:50:01Z,RECEIVED,special_deals#DEFAULT,displayed_InAppNotification
2023-09-28T01:24:49Z,ACTION_TRAY_CLOSE,,
2023-02-15T06:01:00Z,ACTION_TRAY_OPEN,,
2023-03-30T19:46:00Z,RECEIVED,special_deals,displayed
2024-11-08T19:45:08Z,ACTION_TRAY_CLEAR_PERFORMED,,
2023-08-28T17:41:34Z,RECEIVED,kindle_recommends,displayed
2023-07-06T18:56:20Z,ACTION_TRAY_CLOSE,,
2025-01-13T03:45:01Z,ACTION_TRAY_CLEAR_PERFORMED,,
2023-03-07T03:51:20Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2024-02-17T22:03:47Z,RECEIVED,tips,displayed
2025-06-16T18:14:14Z,RECEIVED,tips,displayed
2024-01-08T03:23:35Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2024-12-06T23:52:00Z,RECEIVED,tips,displayed
2024-09-01T18:52:58Z,ACTION_TRAY_CLEAR_PERFORMED,,
2023-06-06T01:35:02Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2024-07-31T10:17:39Z,ACTION_TRAY_OPEN,,
2024-04-27T03:27:53Z,ACTION_TRAY_CLOSE,,
2023-03-07T03:51:51Z,ACTION_TRAY_CLEAR_PERFORMED,,
2025-01-14T20:04:00Z,ACTION_TRAY_OPEN,,
2025-06-26T01:24:02Z,ACTION_TRAY_CLEAR_PERFORMED,,
2024-08-17T18:25:14Z,ACTION_TRAY_CLEARED,,
2023-10-04T15:33:42Z,RECEIVED,kindle_recommends,displayed
2023-04-28T19:54:43Z,ACTION_TRAY_CLEARED,,
2025-07-06T19:42:22Z,ACTION_TAP_InAppNotification,kindle_recommends#DEFAULT,
2023-12-18T01:45:28Z,RECEIVED,special_deals#DEFAULT,displayed_InAppNotification
2023-03-09T03:07:27Z,ACTION_TRAY_CLEAR_PERFORMED,,
2023-07-05T17:30:47Z,RECEIVED,tips,displayed
2025-02-26T21:41:28Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2023-06-07T18:21:46Z,RECEIVED,tips,displayed
2023-06-28T23:56:04Z,ACTION_TRAY_CLEARED,,
2023-04-30T21:04:31Z,ACTION_TRAY_CLOSE,,
2023-12-20T05:58:44Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2024-11-06T17:15:43Z,ACTION_TRAY_OPEN,,
2025-04-14T22:45:05Z,ACTION_TAP_InAppNotification,special_deals#DEFAULT,
2024-02-04T03:54:19Z,ACTION_TRAY_CLEARED,,
2024-04-02T02:14:22Z,RECEIVED,tips,displayed
2024-11-04T03:49:11Z,ACTION_TRAY_OPEN,,
2025-04-14T22:45:05Z,ACTION_TRAY_CLOSE,,
2025-02-19T21:31:21Z,RECEIVED,kindle_recommends,displayed
2024-11-06T17:15:43Z,ACTION_TRAY_CLEARED,,
2023-07-16T21:09:28Z,RECEIVED,kindle_recommends,displayed
2023-06-08T21:28:01Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2023-11-14T03:27:36Z,RECEIVED,tips,displayed
2025-05-27T03:26:11Z,ACTION_TRAY_OPEN,,
2023-12-18T01:47:37Z,ACTION_TRAY_CLEARED,,
2025-04-27T18:15:50Z,RECEIVED,kindle_recommends,displayed
2023-11-12T23:35:55Z,ACTION_TRAY_CLEARED,,
2024-12-25T14:21:44Z,RECEIVED,special_deals,displayed
2024-06-15T21:36:32Z,ACTION_TRAY_CLEAR_PERFORMED,,
2025-01-05T04:39:24Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2024-11-08T19:45:08Z,ACTION_TRAY_CLEARED,,
2023-10-02T15:55:46Z,RECEIVED,tips,displayed
2025-06-11T03:15:27Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2023-07-14T02:59:19Z,RECEIVED,tips,displayed
2023-12-09T18:24:38Z,RECEIVED,tips,displayed
2024-08-17T18:25:14Z,RECEIVED,special_deals#DEFAULT,displayed_InAppNotification
2024-01-18T17:55:15Z,ACTION_TAP,tips,
2023-08-14T23:28:39Z,ACTION_TAP,tips,
2024-07-01T17:46:22Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2024-08-09T02:40:09Z,ACTION_TRAY_CLEAR_PERFORMED,,
2023-07-25T15:48:54Z,RECEIVED,tips,displayed
2024-07-17T23:30:52Z,ACTION_TRAY_CLEARED,,
2025-04-17T19:32:13Z,ACTION_TRAY_CLEAR_PERFORMED,,
2023-09-21T19:04:24Z,RECEIVED,kindle_recommends,displayed
2024-09-17T15:37:26Z,RECEIVED,tips,displayed
2023-06-19T21:29:36Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2023-10-02T00:54:17Z,RECEIVED,kindle_recommends,displayed
2025-05-27T03:26:11Z,ACTION_TRAY_CLEARED,,
2025-04-27T03:17:06Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2023-10-05T04:16:38Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2024-06-13T02:01:59Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2023-09-20T18:41:38Z,ACTION_TAP,tips,
2025-07-11T04:35:43Z,RECEIVED,tips,displayed
2025-05-29T02:43:43Z,ACTION_TRAY_CLEARED,,
2023-12-09T16:54:00Z,ACTION_TRAY_CLEAR_PERFORMED,,
