ASIN,Product Name,Annotation Type,Customer modified date on device,Device Serial Number,ContentType,Format,Creation Date,LastUpdatedDate,Highlight,Version,Selection Type,Note,Is Deleted
2WHQ4RDHHZSUUDZRQBG52I7KS37FTVCT,Not Available,kindle.last_read,2022-10-13T04:02:25Z,G0016T03101203AQ,PDOC,Mobi8,2022-10-05T19:36:43Z,2022-10-13T04:02:27Z,Not Available,Not Available,Not Available,Not Available,No
B09NLPTNQ2,The Bullet That Missed: A Thursday Murder Club Mystery (Thursday Murder Club Mysteries Book 3),kindle.continuous_read,2022-10-05T02:18:40Z,G0016T03101203AQ,EBSP,YJBinary,2022-10-05T02:18:41Z,2022-10-05T02:18:41Z,Not Available,Not Available,Not Available,Not Available,No
B09NLPTNQ2,The Bullet That Missed: A Thursday Murder Club Mystery (Thursday Murder Club Mysteries Book 3),kindle.most_recent_read,2022-10-05T02:18:40Z,G0016T03101203AQ,EBSP,YJBinary,2022-10-05T02:18:41Z,2022-10-05T02:18:41Z,Not Available,Not Available,Not Available,Not Available,No
B09NLPTNQ2,The Bullet That Missed: A Thursday Murder Club Mystery (Thursday Murder Club Mysteries Book 3),kindle.last_read,2022-10-05T02:18:40Z,G0016T03101203AQ,EBSP,YJBinary,2022-10-05T02:18:41Z,2022-10-05T02:18:41Z,Not Available,Not Available,Not Available,Not Available,No
3IPAKSAWQQL2Z24WQQ2L3VFTRTUOXTTK,Not Available,kindle.continuous_read,2022-10-23T03:19:49Z,G0016T03101203AQ,PDOC,Mobi8,2022-10-05T02:17:46Z,2022-10-23T03:19:52Z,Not Available,Not Available,Not Available,Not Available,No
3IPAKSAWQQL2Z24WQQ2L3VFTRTUOXTTK,Not Available,kindle.most_recent_read,2022-10-23T03:19:49Z,G0016T03101203AQ,PDOC,Mobi8,2022-10-05T02:17:46Z,2022-10-23T03:19:52Z,Not Available,Not Available,Not Available,Not Available,No
3IPAKSAWQQL2Z24WQQ2L3VFTRTUOXTTK,Not Available,kindle.last_read,2022-10-23T01:14:28Z,G0016T03101203AQ,PDOC,Mobi8,2022-10-05T02:17:46Z,2022-10-23T01:14:30Z,Not Available,Not Available,Not Available,Not Available,No
B000FC0QBQ,Iron Lake (20th Anniversary Edition): A Novel (Cork O'Connor Mystery Series Book 1),kindle.continuous_read,2022-10-05T19:29:32Z,G0016T03101203AQ,EBOK,YJBinary,2022-09-28T20:14:52Z,2022-10-05T19:29:35Z,Not Available,Not Available,Not Available,Not Available,No
B000FC0QBQ,Iron Lake (20th Anniversary Edition): A Novel (Cork O'Connor Mystery Series Book 1),kindle.most_recent_read,2022-10-05T19:29:32Z,G0016T03101203AQ,EBOK,YJBinary,2022-09-28T20:14:52Z,2022-10-05T19:29:35Z,Not Available,Not Available,Not Available,Not Available,No
B000FC0QBQ,Iron Lake (20th Anniversary Edition): A Novel (Cork O'Connor Mystery Series Book 1),kindle.last_read,2022-10-05T10:15:10Z,G0016T03101203AQ,EBOK,YJBinary,2022-09-28T20:14:52Z,2022-10-05T10:15:13Z,Not Available,Not Available,Not Available,Not Available,No
B097769VDM,Nine Lives: A Novel,kindle.continuous_read,2022-09-28T19:46:06Z,G0016T03101203AQ,EBOK,YJBinary,2022-09-26T02:59:45Z,2022-09-28T19:46:08Z,Not Available,Not Available,Not Available,Not Available,No
B097769VDM,Nine Lives: A Novel,kindle.most_recent_read,2022-09-28T19:46:06Z,G0016T03101203AQ,EBOK,YJBinary,2022-09-26T02:59:45Z,2022-09-28T19:46:08Z,Not Available,Not Available,Not Available,Not Available,No
